"sale_id","sku_id","customer_id","quantity_sold","selling_price","discount_amount","total_amount","payment_method","delivery_status","customer_rating"
"46","1837","1119","2","25","2","48","Cash on Delivery","Delivered","3.0"
"47","912","1054","2","25","2","48","Credit Card","Out for Delivery","4.0"
"48","2403","1143","3","200","48","552","UPI","Delivered","4.5"
"49","3362","1049","5","174","44","826","Cash on Delivery","Delivered","3.0"
"50","2394","1030","5","81","20","385","Debit Card","Delivered","4.0"
"51","2363","1039","5","234","117","1053","Debit Card","Delivered","5.0"
"52","2268","1061","1","74","4","70","Credit Card","Delivered","3.5"
"53","3730","1113","1","185","9","176","Credit Card","Delivered","4.0"
"54","1912","1131","1","294","24","270","UPI","Cancelled","4.5"
"55","2023","1126","1","40","0","40","Debit Card","Delivered","3.0"
"56","1692","1066","5","234","140","1030","Debit Card","Out for Delivery","3.5"
"57","2562","1115","5","65","49","281","Debit Card","Cancelled","4.5"
"58","2294","1012","1","48","4","44","Debit Card","Cancelled","3.0"
"59","3507","1076","1","122","10","112","Credit Card","Delivered","3.0"
"60","602","1115","1","95","10","85","Credit Card","Delivered","4.0"
"61","1327","1133","3","137","21","390","Debit Card","Delivered","5.0"
"62","344","1059","3","194","0","582","UPI","Cancelled","5.0"
"63","3731","1021","4","60","29","211","UPI","Cancelled","4.0"
"64","2720","1023","2","45","14","76","Credit Card","Delivered","4.0"
"65","3068","1027","2","188","56","320","Debit Card","Delivered","3.5"
"66","1674","1004","1","119","0","119","Debit Card","Delivered","5.0"
"67","1999","1063","2","179","0","358","Cash on Delivery","Delivered","3.0"
"68","1431","1055","4","10","4","36","Cash on Delivery","Delivered","4.5"
"69","802","1009","2","34","8","60","UPI","Delivered","3.5"
"70","773","1066","1","122","6","116","Wallet","Out for Delivery","4.0"
"71","2329","1075","4","160","0","640","Credit Card","Delivered","3.0"
"72","369","1039","5","47","28","207","UPI","Delivered","4.0"
"73","2234","1034","2","70","17","123","UPI","Delivered","3.5"
"74","2670","1078","3","199","90","507","Wallet","Delivered","3.5"
"75","497","1062","5","25","19","106","Credit Card","Delivered","4.5"
"76","535","1113","3","44","20","112","Cash on Delivery","Delivered","3.0"
"77","2172","1143","1","15","2","13","Wallet","Out for Delivery","4.5"
"78","2864","1117","3","177","27","504","UPI","Delivered","5.0"
"79","804","1088","1","81","12","69","UPI","Cancelled","5.0"
"80","3411","1090","4","160","96","544","Debit Card","Out for Delivery","4.0"
"81","3081","1102","5","194","78","892","UPI","Delivered","3.0"
"82","1366","1009","1","62","6","56","Debit Card","Out for Delivery","3.5"
"83","1797","1063","4","193","77","695","Cash on Delivery","Cancelled","5.0"
"84","1359","1041","5","99","25","470","Credit Card","Delivered","4.5"
"85","1124","1027","5","31","12","143","UPI","Delivered","5.0"
"86","1777","1122","4","34","0","136","Cash on Delivery","Out for Delivery","5.0"
"87","3706","1050","3","115","34","311","UPI","Delivered","4.0"
"88","3647","1067","2","205","20","390","Wallet","Delivered","4.0"
"89","195","1092","2","90","14","178","Wallet","Delivered","3.0"
"90","805","1086","1","108","16","92","Credit Card","Delivered","3.0"
"91","3721","1014","3","116","35","313","UPI","Delivered","3.5"
"92","1726","1062","4","155","93","527","Credit Card","Delivered","3.5"
"93","2727","1048","1","23","3","20","Debit Card","Delivered","4.0"
"94","1814","1034","4","44","9","167","Cash on Delivery","Out for Delivery","4.5"
"95","868","1084","4","75","36","264","UPI","Delivered","5.0"
"96","2628","1110","3","20","5","55","Credit Card","Delivered","4.0"
"97","2418","1061","3","15","2","43","Cash on Delivery","Out for Delivery","4.0"
"98","68","1137","1","49","2","47","Wallet","Delivered","4.0"
"99","3106","1111","2","169","51","287","Cash on Delivery","Delivered","3.5"
"100","3580","1055","1","72","11","61","Wallet","Delivered","3.0"
"101","2181","1026","2","118","24","212","Cash on Delivery","Cancelled","5.0"
"102","751","1012","1","120","14","106","UPI","Delivered","3.5"
"103","1946","1034","3","128","38","346","Wallet","Delivered","5.0"
"104","760","1023","3","72","32","184","Credit Card","Delivered","4.5"
"105","1113","1062","2","23","0","46","Cash on Delivery","Delivered","4.0"
"106","2978","1081","4","220","106","774","Debit Card","Out for Delivery","4.5"
"107","1429","1037","1","86","10","76","Cash on Delivery","Delivered","4.0"
"108","2631","1140","2","22","0","44","Wallet","Delivered","3.5"
"109","3138","1130","3","88","0","264","Credit Card","Delivered","5.0"
"110","2408","1094","4","410","164","1476","Wallet","Out for Delivery","4.5"
"111","2922","1015","5","364","218","1602","Debit Card","Delivered","5.0"
"112","1758","1029","2","110","33","187","Cash on Delivery","Delivered","4.0"
"113","561","1076","5","31","12","143","Cash on Delivery","Delivered","5.0"
"114","431","1040","4","125","50","450","Credit Card","Out for Delivery","4.5"
"115","993","1068","1","84","8","76","Cash on Delivery","Out for Delivery","5.0"
"116","1254","1012","3","49","22","125","Wallet","Delivered","3.5"
"117","1039","1019","1","70","8","62","Wallet","Delivered","4.0"
"118","3269","1077","1","225","0","225","Debit Card","Out for Delivery","4.5"
"119","484","1040","1","159","19","140","Credit Card","Delivered","3.5"
"120","1039","1016","2","70","17","123","Credit Card","Out for Delivery","5.0"
"121","1623","1057","3","124","30","342","Credit Card","Delivered","5.0"
"122","2342","1091","5","190","0","950","Credit Card","Delivered","3.5"
"123","3089","1074","3","87","39","222","Wallet","Delivered","3.5"
"124","1667","1059","1","55","7","48","Credit Card","Delivered","3.0"
"125","3041","1053","5","264","0","1320","Debit Card","Out for Delivery","4.0"
"126","2241","1035","4","174","0","686","UPI","Out for Delivery","4.0"
"127","210","1014","4","198","79","713","Wallet","Out for Delivery","4.0"
"128","3062","1086","4","252","101","907","Credit Card","Delivered","5.0"
"129","2098","1003","4","249","149","847","Credit Card","Cancelled","5.0"
"130","3698","1114","1","71","4","67","Credit Card","Cancelled","3.5"
"131","2997","1112","4","899","180","3416","Credit Card","Out for Delivery","3.5"
"132","1311","1093","1","155","8","147","Cash on Delivery","Delivered","5.0"
"133","677","1033","3","299","108","789","UPI","Delivered","3.0"
"134","137","1110","1","79","4","75","Wallet","Out for Delivery","3.0"
"135","2106","1041","2","230","23","437","Wallet","Delivered","3.0"
"136","3701","1145","2","128","31","225","Wallet","Delivered","3.5"
"137","1820","1011","4","80","26","294","Cash on Delivery","Out for Delivery","5.0"
"138","2612","1071","3","44","13","119","Credit Card","Delivered","4.5"
"139","2419","1063","1","133","0","133","UPI","Delivered","4.5"
"140","2854","1071","5","60","24","276","Cash on Delivery","Cancelled","3.0"
"141","343","1025","5","275","69","1306","Wallet","Out for Delivery","4.0"
"142","1743","1103","5","45","27","198","Wallet","Delivered","5.0"
"143","3375","1054","4","210","101","739","UPI","Delivered","3.5"
"144","1035","1129","5","630","315","2835","Cash on Delivery","Delivered","4.5"
"145","2582","1140","1","158","16","142","Wallet","Delivered","4.5"
"146","1972","1093","2","191","19","363","Cash on Delivery","Delivered","3.0"
"147","780","1021","2","166","40","292","UPI","Cancelled","5.0"
"148","875","1043","3","63","0","189","Debit Card","Cancelled","5.0"
"149","561","1085","4","31","6","118","Credit Card","Out for Delivery","4.5"
"150","3075","1005","1","221","27","194","Debit Card","Delivered","3.5"
"151","1596","1098","3","325","117","858","UPI","Delivered","3.0"
"152","1793","1030","5","118","71","519","Credit Card","Cancelled","4.0"
"153","1678","1017","3","112","40","296","Debit Card","Out for Delivery","3.5"
"154","2480","1140","1","120","0","120","Cash on Delivery","Delivered","3.5"
"155","854","1063","5","15","0","75","Debit Card","Delivered","5.0"
"156","374","1101","2","43","9","77","Debit Card","Out for Delivery","4.5"
"157","3078","1131","3","123","30","339","Wallet","Delivered","3.5"
"158","2328","1126","1","88","13","75","Credit Card","Cancelled","4.5"
"159","1606","1094","4","248","119","873","Debit Card","Out for Delivery","3.5"
"160","3223","1122","4","59","28","208","Cash on Delivery","Delivered","3.5"
"161","339","1014","1","143","11","132","UPI","Out for Delivery","5.0"
"162","1877","1062","4","150","0","600","UPI","Delivered","4.5"
"163","3357","1030","2","128","26","230","Credit Card","Delivered","4.5"
"164","2650","1135","5","106","0","539","UPI","Delivered","5.0"
"165","3383","1085","4","182","0","728","Debit Card","Delivered","4.0"
"166","111","1061","3","509","183","1344","Cash on Delivery","Cancelled","5.0"
"167","3716","1097","4","270","54","1026","Debit Card","Delivered","5.0"
"168","1604","1130","2","128","26","230","Debit Card","Out for Delivery","3.5"
"169","528","1143","2","295","0","590","Cash on Delivery","Cancelled","4.0"
"170","264","1062","5","25","19","106","Wallet","Delivered","5.0"
"171","2651","1029","4","41","20","144","UPI","Out for Delivery","4.5"
"172","936","1057","5","49","12","233","Debit Card","Cancelled","4.0"
"173","1510","1009","3","149","54","393","Cash on Delivery","Delivered","5.0"
"174","431","1001","4","125","40","460","UPI","Delivered","5.0"
"175","2480","1100","2","120","12","228","Credit Card","Delivered","4.5"
"176","1518","1071","5","48","29","211","Wallet","Delivered","5.0"
"177","2023","1076","5","40","20","180","Wallet","Delivered","4.5"
"178","2086","1093","1","110","9","101","Wallet","Cancelled","4.0"
"179","695","1011","2","59","6","112","Credit Card","Out for Delivery","4.0"
"180","1710","1029","1","249","30","219","Wallet","Out for Delivery","5.0"
"181","2193","1060","5","347","174","1561","Credit Card","Cancelled","4.0"
"182","2636","1024","5","29","12","133","Cash on Delivery","Delivered","3.0"
"183","852","1096","5","65","0","325","UPI","Delivered","3.5"
"184","1823","1077","3","401","96","1107","Wallet","Delivered","3.0"
"185","3327","1142","5","115","29","546","Cash on Delivery","Out for Delivery","5.0"
"186","554","1063","4","287","57","1091","Wallet","Delivered","4.0"
"187","1941","1030","4","160","96","544","Credit Card","Delivered","3.5"
"188","475","1115","4","432","173","1555","Debit Card","Out for Delivery","3.0"
"189","1857","1089","1","48","7","41","Debit Card","Delivered","5.0"
"190","3538","1124","1","347","17","330","Credit Card","Delivered","3.0"
"191","365","1019","5","112","28","532","UPI","Out for Delivery","5.0"
"192","2945","1051","3","263","39","750","Wallet","Cancelled","4.5"
"193","855","1106","4","60","12","228","Wallet","Cancelled","4.5"
"194","2336","1043","2","140","34","246","Credit Card","Delivered","4.0"
"195","2048","1137","4","55","18","202","Cash on Delivery","Delivered","3.0"
"196","3164","1077","2","323","65","581","UPI","Delivered","4.5"
"197","2470","1127","3","114","17","325","Debit Card","Delivered","4.5"
"198","1433","1102","5","43","0","215","Cash on Delivery","Delivered","4.0"
"199","1727","1083","3","57","26","145","UPI","Delivered","3.5"
"200","2891","1070","5","75","30","345","Debit Card","Out for Delivery","3.5"
"201","1721","1124","3","595","89","1696","Debit Card","Cancelled","5.0"
"202","2955","1130","3","265","64","731","Debit Card","Cancelled","3.0"
"203","2710","1013","2","350","35","661","Debit Card","Delivered","3.5"
"204","3422","1140","5","123","92","523","Debit Card","Delivered","5.0"
"205","2177","1136","5","10","4","46","Cash on Delivery","Delivered","5.0"
"206","1778","1076","5","118","88","502","Credit Card","Delivered","4.5"
"207","3151","1067","3","79","28","209","Credit Card","Delivered","3.0"
"208","2779","1143","1","30","2","28","UPI","Cancelled","4.0"
"209","2604","1002","2","250","75","425","Credit Card","Delivered","3.5"
"210","2599","1044","1","204","31","173","Credit Card","Delivered","3.5"
"211","1156","1035","2","17","3","31","UPI","Out for Delivery","3.0"
"212","1525","1028","2","128","26","230","Cash on Delivery","Cancelled","5.0"
"213","2609","1021","1","22","3","19","Cash on Delivery","Delivered","4.5"
"214","2534","1002","5","110","55","495","Credit Card","Delivered","3.0"
"215","1452","1004","4","85","0","340","Wallet","Out for Delivery","4.0"
"216","2849","1019","5","180","108","792","Cash on Delivery","Delivered","3.5"
"217","3584","1012","2","225","54","396","Cash on Delivery","Delivered","5.0"
"218","105","1026","1","925","0","925","Wallet","Delivered","4.5"
"219","1672","1090","1","77","4","73","Cash on Delivery","Cancelled","3.0"
"220","2120","1082","2","148","0","296","UPI","Delivered","5.0"
"221","642","1009","2","88","0","176","Wallet","Delivered","4.5"
"222","2083","1028","4","230","138","782","UPI","Delivered","3.5"
"223","2621","1141","1","35","5","30","Cash on Delivery","Out for Delivery","3.5"
"224","2901","1005","3","89","27","240","Credit Card","Delivered","3.5"
"225","202","1029","4","105","42","378","Wallet","Delivered","5.0"
"226","3012","1139","1","20","0","20","Wallet","Cancelled","5.0"
"227","1322","1023","2","194","31","357","Debit Card","Delivered","5.0"
"228","1253","1104","2","31","6","56","Credit Card","Delivered","3.5"
"229","2543","1053","3","250","0","750","Cash on Delivery","Delivered","4.0"
"230","167","1019","3","212","95","541","UPI","Delivered","5.0"
"231","3195","1051","4","620","0","2480","Wallet","Delivered","4.0"
"232","863","1112","1","171","26","145","Debit Card","Delivered","4.5"
"233","1277","1054","5","79","32","363","Credit Card","Delivered","3.0"
"234","2398","1111","1","267","27","240","Credit Card","Delivered","3.5"
"235","3300","1100","3","550","0","1650","UPI","Cancelled","4.0"
"236","2136","1103","3","80","19","221","UPI","Cancelled","4.0"
"237","1582","1089","1","55","6","49","Debit Card","Out for Delivery","4.5"
"238","1771","1094","3","70","25","185","UPI","Out for Delivery","3.5"
"239","2436","1045","3","55","16","149","UPI","Delivered","3.5"
"240","2424","1067","5","200","0","1000","Credit Card","Delivered","4.5"
"241","1344","1036","1","189","19","185","Credit Card","Out for Delivery","3.5"
"242","3466","1115","1","74","0","74","Debit Card","Delivered","4.0"
"243","3443","1016","2","89","0","178","Cash on Delivery","Delivered","5.0"
"244","575","1023","4","54","17","199","Wallet","Delivered","4.5"
"245","1183","1036","3","199","0","597","Credit Card","Cancelled","3.0"
"246","1452","1081","1","85","7","78","UPI","Cancelled","4.5"
"247","1546","1064","3","15","4","41","Credit Card","Cancelled","4.5"
"248","2125","1052","1","107","9","98","Wallet","Cancelled","3.5"
"249","1274","1092","2","55","0","110","Credit Card","Delivered","4.5"
"250","1883","1008","5","121","60","545","Debit Card","Delivered","4.0"
"251","635","1016","4","94","38","338","Cash on Delivery","Delivered","4.5"
"252","1286","1051","5","51","31","224","UPI","Delivered","4.5"
"253","1682","1084","5","123","92","523","UPI","Cancelled","3.0"
"254","3149","1076","2","74","22","126","Credit Card","Delivered","5.0"
"255","1629","1121","5","77","31","354","Debit Card","Delivered","3.5"
"256","1553","1102","4","160","32","608","Debit Card","Delivered","5.0"
"257","1400","1059","2","114","11","217","Cash on Delivery","Cancelled","3.0"
"258","719","1086","4","37","12","136","Cash on Delivery","Delivered","3.5"
"259","1208","1105","4","372","149","1339","UPI","Out for Delivery","5.0"
"260","3384","1077","2","375","75","675","Wallet","Delivered","3.0"
"261","58","1063","4","75","45","255","Credit Card","Delivered","4.0"
"262","3503","1023","4","126","0","504","Cash on Delivery","Cancelled","3.5"
"263","1197","1037","5","137","34","651","Debit Card","Delivered","3.0"
"264","586","1083","4","63","38","214","Debit Card","Delivered","4.0"
"265","144","1079","4","54","32","184","Credit Card","Delivered","3.0"
"266","59","1138","4","45","0","180","Credit Card","Cancelled","3.5"
"267","3700","1122","3","85","26","229","Wallet","Delivered","4.0"
"268","1615","1022","2","269","27","511","Cash on Delivery","Cancelled","5.0"
"269","3643","1117","5","42","32","178","Wallet","Delivered","5.0"
"270","3285","1107","2","186","37","335","Wallet","Delivered","3.5"
"271","1092","1040","1","33","2","31","Cash on Delivery","Out for Delivery","3.0"
"272","724","1097","3","198","71","523","Credit Card","Cancelled","4.5"
"273","1815","1035","4","184","59","677","UPI","Delivered","3.0"
"274","2682","1069","2","30","0","60","Wallet","Delivered","3.0"
"275","879","1020","5","112","0","560","Credit Card","Delivered","3.0"
"276","737","1009","5","72","54","306","Cash on Delivery","Out for Delivery","4.5"
"277","1784","1078","1","15","0","15","UPI","Delivered","3.5"
"278","2329","1111","2","160","26","288","Debit Card","Delivered","4.0"
"279","2882","1052","1","285","34","251","Cash on Delivery","Delivered","5.0"
"280","1702","1121","4","330","132","1188","Debit Card","Delivered","3.5"
"281","2420","1123","3","140","21","399","Debit Card","Delivered","3.5"
"282","696","1108","5","208","156","884","UPI","Out for Delivery","4.5"
"283","2776","1123","4","45","14","166","UPI","Delivered","4.0"
"284","2960","1002","1","199","24","175","Debit Card","Out for Delivery","3.0"
"285","1817","1075","4","86","41","303","Wallet","Delivered","5.0"
"286","2580","1018","2","248","74","422","UPI","Delivered","4.0"
"287","643","1005","5","64","32","288","Cash on Delivery","Delivered","4.5"
"288","85","1085","1","21","3","18","Wallet","Cancelled","5.0"
"289","1671","1144","3","77","28","203","Credit Card","Delivered","4.5"
"290","1417","1053","2","347","35","659","Debit Card","Delivered","3.0"
"291","1121","1002","3","120","43","317","Cash on Delivery","Cancelled","4.5"
"292","790","1044","1","30","4","26","Credit Card","Delivered","4.0"
"293","1751","1135","4","23","14","78","Cash on Delivery","Delivered","3.5"
"294","3100","1084","1","103","0","103","UPI","Cancelled","4.5"
"295","2374","1106","2","191","46","346","Debit Card","Delivered","4.5"
"296","2571","1097","2","39","8","70","UPI","Delivered","3.5"
"297","1487","1139","5","44","26","194","Wallet","Delivered","5.0"
"298","1861","1054","2","74","12","136","Credit Card","Out for Delivery","4.0"
"299","1386","1018","3","111","27","306","Wallet","Out for Delivery","4.0"
"300","2554","1112","2","230","46","414","Debit Card","Out for Delivery","4.5"
